0 DEBUG  [main]  Spider  - Start :html
15 DEBUG  [main]  Spider  - Start :head
15 DEBUG  [main]  Spider  - Start :script
15 DEBUG  [main]  Spider  - End :script
15 DEBUG  [main]  Spider  - Start :title
15 DEBUG  [main]  Spider  - End :title
15 DEBUG  [main]  Spider  - meta -- http-equiv=Content-Type content=text/html; charset=UTF-8 
31 DEBUG  [main]  Spider  - meta -- http-equiv=PICS-Label content=(PICS-1.1 "http://www.icra.org/ratingsv02.html" l r (cz 1 lz 1 nz 1 oz 1 vz 1) gen true for "http://www.yahoo.com" r (cz 1 lz 1 nz 1 oz 1 vz 1) "http://www.rsac.org/ratingsv01.html" l r (n 0 s 0 v 0 l 0) gen true for "http://www.yahoo.com" r (n 0 s 0 v 0 l 0)) 
31 INFO  [main]  Spider  - base http://www.yahoo.com/_ylh=X3oDMTEwZGh2NmNjBF9TAzI3MTYxNDkEdGVzdAMwBHRtcGwDaW5kZXgtdGJs/
31 DEBUG  [main]  Spider  - Start :script
31 DEBUG  [main]  Spider  - End :script
31 DEBUG  [main]  Spider  - Start :script
62 DEBUG  [main]  Spider  - End :script
62 DEBUG  [main]  Spider  - Start :style
62 DEBUG  [main]  Spider  - End :style
62 DEBUG  [main]  Spider  - Start :script
62 DEBUG  [main]  Spider  - Start :nobr
62 DEBUG  [main]  Spider  - End :nobr
62 DEBUG  [main]  Spider  - End :script
62 DEBUG  [main]  Spider  - Start :script
78 DEBUG  [main]  Spider  - End :script
78 DEBUG  [main]  Spider  - End :head
78 DEBUG  [main]  Spider  - Start :body
78 DEBUG  [main]  Spider  - Start :center
78 DEBUG  [main]  Spider  - Start :font
78 DEBUG  [main]  Spider  - End :font
78 DEBUG  [main]  Spider  - Start :table
78 DEBUG  [main]  Spider  - Start :tr
78 DEBUG  [main]  Spider  - Start :td
78 DEBUG  [main]  Spider  - End :td
78 DEBUG  [main]  Spider  - Start :td
78 INFO  [main]  Spider  - a r/25
78 DEBUG  [main]  Spider  - Simple Tag :img
78 DEBUG  [main]  Spider  - Simple Tag :br
78 DEBUG  [main]  Spider  - Start :nobr
78 DEBUG  [main]  Spider  - Start :font
78 DEBUG  [main]  Spider  - End :font
78 DEBUG  [main]  Spider  - End :nobr
78 DEBUG  [main]  Spider  - End :a
78 DEBUG  [main]  Spider  - End :td
78 DEBUG  [main]  Spider  - Start :td
78 INFO  [main]  Spider  - a r/3m
78 DEBUG  [main]  Spider  - Simple Tag :img
78 DEBUG  [main]  Spider  - Simple Tag :br
78 DEBUG  [main]  Spider  - Start :nobr
78 DEBUG  [main]  Spider  - Start :font
78 DEBUG  [main]  Spider  - End :font
78 DEBUG  [main]  Spider  - End :nobr
78 DEBUG  [main]  Spider  - End :a
78 DEBUG  [main]  Spider  - End :td
78 DEBUG  [main]  Spider  - Start :td
78 INFO  [main]  Spider  - a r/29
78 DEBUG  [main]  Spider  - Simple Tag :img
78 DEBUG  [main]  Spider  - Simple Tag :br
78 DEBUG  [main]  Spider  - Start :nobr
78 DEBUG  [main]  Spider  - Start :font
78 DEBUG  [main]  Spider  - End :font
78 DEBUG  [main]  Spider  - End :nobr
78 DEBUG  [main]  Spider  - End :a
78 DEBUG  [main]  Spider  - End :td
78 DEBUG  [main]  Spider  - Start :td
94 DEBUG  [main]  Spider  - Simple Tag :img
94 DEBUG  [main]  Spider  - Start :script
94 DEBUG  [main]  Spider  - End :script
94 DEBUG  [main]  Spider  - Simple Tag :noscript
94 DEBUG  [main]  Spider  - Simple Tag :img
94 DEBUG  [main]  Spider  - Simple Tag :noscript
94 DEBUG  [main]  Spider  - End :td
94 DEBUG  [main]  Spider  - Start :td
94 INFO  [main]  Spider  - a r/m1
94 DEBUG  [main]  Spider  - Simple Tag :img
94 DEBUG  [main]  Spider  - Simple Tag :br
94 DEBUG  [main]  Spider  - Start :nobr
94 DEBUG  [main]  Spider  - Start :font
94 DEBUG  [main]  Spider  - End :font
94 DEBUG  [main]  Spider  - End :nobr
94 DEBUG  [main]  Spider  - End :a
94 DEBUG  [main]  Spider  - End :td
94 DEBUG  [main]  Spider  - Start :td
94 INFO  [main]  Spider  - a r/i1
94 DEBUG  [main]  Spider  - Simple Tag :img
94 DEBUG  [main]  Spider  - Simple Tag :br
94 DEBUG  [main]  Spider  - Start :nobr
94 DEBUG  [main]  Spider  - Start :font
94 DEBUG  [main]  Spider  - End :font
94 DEBUG  [main]  Spider  - End :nobr
94 DEBUG  [main]  Spider  - End :a
94 DEBUG  [main]  Spider  - End :td
94 DEBUG  [main]  Spider  - Start :td
94 INFO  [main]  Spider  - a r/p1
94 DEBUG  [main]  Spider  - Simple Tag :img
94 DEBUG  [main]  Spider  - Simple Tag :br
94 DEBUG  [main]  Spider  - Start :nobr
109 DEBUG  [main]  Spider  - Start :font
109 DEBUG  [main]  Spider  - End :font
109 DEBUG  [main]  Spider  - End :nobr
109 DEBUG  [main]  Spider  - End :a
109 DEBUG  [main]  Spider  - End :td
109 DEBUG  [main]  Spider  - Start :td
109 DEBUG  [main]  Spider  - End :td
109 DEBUG  [main]  Spider  - End :tr
109 DEBUG  [main]  Spider  - End :table
109 DEBUG  [main]  Spider  - Simple Tag :br
109 DEBUG  [main]  Spider  - Start :table
109 DEBUG  [main]  Spider  - Start :tr
109 DEBUG  [main]  Spider  - Start :td
109 DEBUG  [main]  Spider  - Start :table
109 DEBUG  [main]  Spider  - Start :tr
109 DEBUG  [main]  Spider  - Start :td
109 DEBUG  [main]  Spider  - Start :form
109 DEBUG  [main]  Spider  - Start :table
109 DEBUG  [main]  Spider  - Start :tr
109 DEBUG  [main]  Spider  - Start :td
109 DEBUG  [main]  Spider  - Start :font
109 DEBUG  [main]  Spider  - Start :b
109 DEBUG  [main]  Spider  - End :b
109 DEBUG  [main]  Spider  - End :font
109 DEBUG  [main]  Spider  - End :td
109 DEBUG  [main]  Spider  - Start :td
109 DEBUG  [main]  Spider  - Start :font
109 DEBUG  [main]  Spider  - Simple Tag :input
109 DEBUG  [main]  Spider  - Start :select
109 DEBUG  [main]  Spider  - Start :option
109 DEBUG  [main]  Spider  - End :option
109 DEBUG  [main]  Spider  - Start :option
109 DEBUG  [main]  Spider  - End :option
109 DEBUG  [main]  Spider  - Start :option
109 DEBUG  [main]  Spider  - End :option
109 DEBUG  [main]  Spider  - Start :option
125 DEBUG  [main]  Spider  - End :option
125 DEBUG  [main]  Spider  - Start :option
125 DEBUG  [main]  Spider  - End :option
125 DEBUG  [main]  Spider  - Start :option
125 DEBUG  [main]  Spider  - End :option
125 DEBUG  [main]  Spider  - Start :option
125 DEBUG  [main]  Spider  - End :option
125 DEBUG  [main]  Spider  - End :select
125 DEBUG  [main]  Spider  - Start :b
125 DEBUG  [main]  Spider  - Simple Tag :input
125 DEBUG  [main]  Spider  - End :b
125 DEBUG  [main]  Spider  - End :font
125 DEBUG  [main]  Spider  - End :td
125 DEBUG  [main]  Spider  - Start :td
125 DEBUG  [main]  Spider  - Start :font
125 INFO  [main]  Spider  - a r/so
125 DEBUG  [main]  Spider  - End :a
125 DEBUG  [main]  Spider  - Simple Tag :br
125 INFO  [main]  Spider  - a r/mk
125 DEBUG  [main]  Spider  - Simple Tag :img
125 DEBUG  [main]  Spider  - End :a
125 DEBUG  [main]  Spider  - End :font
125 DEBUG  [main]  Spider  - End :td
125 DEBUG  [main]  Spider  - End :tr
125 DEBUG  [main]  Spider  - End :table
125 DEBUG  [main]  Spider  - End :form
125 DEBUG  [main]  Spider  - Simple Tag :span
125 DEBUG  [main]  Spider  - Simple Tag :span
125 DEBUG  [main]  Spider  - End :td
125 DEBUG  [main]  Spider  - End :tr
125 DEBUG  [main]  Spider  - End :table
125 DEBUG  [main]  Spider  - End :td
125 DEBUG  [main]  Spider  - End :tr
125 DEBUG  [main]  Spider  - End :table
125 DEBUG  [main]  Spider  - Start :script
125 DEBUG  [main]  Spider  - End :script
125 DEBUG  [main]  Spider  - Start :table
125 DEBUG  [main]  Spider  - Start :tr
125 DEBUG  [main]  Spider  - Start :td
